Qty,Value,LCSC Part Num,Package,Parts,Notes
14,4.7u,*,C0603,"C1, C2, C3, C7, C10, C11, C12, C13, C14, C15, C16, C19, C23, C32",
8,1uF,*,C0603,"C20, C35, C36, C37, C38, C39, C40, C41",
2,0.1u,*,C0603,"C24, C25",
2,22uF,*,CAPPM3216X180N,"C26, C27",
6,0.47u,*,C0603,"C4, C6, C9, C18, C22, C34",
4,0.47U,*,C0603,"C5, C8, C17, C33",
2,RCLAMP0524PQTCT,C316044,RCLAMP0524P,"D1, D2",
1,AMS1117-3.3V,C351784,SOT229P700X180-4N,IC2,
1,AMS1117-1.2V,C347218,SOT229P700X180-4N,IC3,
1,47151-1081HDMI-001,C138388,HDMI-001,J1,
2,,*,CHIP-LED0603,"LED1, LED2",
1,IRF7319TR,C693304,SOIC127P600X175-8N,Q1,
7,10k,*,R0603,"R1, R2, R5, R6, R7, R12, R14",
3,0R,*,R0603,"R10, R11, R16",DNI
1,100k,*,R0603,R13,
1,680R,*,R0603,R15,
2,5.1k,*,R0603,"R3, R9",
1,2k,*,R0603,R4,
1,22R,*,R0603,R8,
5,10R,*,0603-ARV,"RN1, RN2, RN3, RN4, RN5",
1,4.31256E+11,C231668,4312560387X6,S1,
1,O50327425MEDH4MI,C79434,OSC_ECS-3518-640-B-TR,U$1,
1,XC6SLX9-2TQG144C,C27408,TQ144,U$2,
1,SNES_CONT,*,SNES_CONT,U$3,"https://www.aliexpress.com/item/32828768824.html?spm=a2g0o.productlist.0.0.191846cbDwyrRJ&algo_pvid=aa5da0d1-7ef7-4c62-91f0-cf06037eba90&algo_expid=aa5da0d1-7ef7-4c62-91f0-cf06037eba90-13&btsid=0b0a555616199122176405265e5849&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
1,POWER_USBC,C283540,USB-C,U$5,
1,W25Q64JVSSIQ,C83140,SOIC127P790X216-8N,U1,
2,SN74LVC245APWR,C7848,SOP65P640X120-20N,"U2, U3",
1,52271-1469,*,MOLEX_52271-1469,U4,
1,FH12A-40S-0.5SH(55),C262686,HIROSE_FH12A-40S-0.5SH(55),U5,
1,MT48LC16M16A2TG-6A_IT:GTR,C41881,SOP80P1176X120-54N,U7,
1,40pin 0.5mm FFC cable,*,*,*,
